subject_id	predicate_id	object_id
unit:A	skos:exactMatch	ifc:AMPERE
unit:BQ	skos:exactMatch	ifc:BECQUEREL
unit:CD	skos:exactMatch	ifc:CANDELA
unit:C	skos:exactMatch	ifc:COULOMB
unit:M3	skos:exactMatch	ifc:CUBIC_METRE
unit:DEG_C	skos:exactMatch	ifc:DEGREE_CELSIUS
unit:F	skos:exactMatch	ifc:FARAD
unit:GM	skos:exactMatch	ifc:GRAM
unit:GRAY	skos:exactMatch	ifc:GRAY
unit:H	skos:exactMatch	ifc:HENRY
unit:HZ	skos:exactMatch	ifc:HERTZ
unit:J	skos:exactMatch	ifc:JOULE
unit:K	skos:exactMatch	ifc:KELVIN
unit:LM	skos:exactMatch	ifc:LUMEN
unit:LUX	skos:exactMatch	ifc:LUX
unit:M	skos:exactMatch	ifc:METRE
unit:MOL	skos:exactMatch	ifc:MOLE
unit:N	skos:exactMatch	ifc:NEWTON
unit:OHM	skos:exactMatch	ifc:OHM
unit:PA	skos:exactMatch	ifc:PASCAL
unit:RAD	skos:exactMatch	ifc:RADIAN
unit:SEC	skos:exactMatch	ifc:SECOND
unit:S	skos:exactMatch	ifc:SIEMENS
unit:SV	skos:exactMatch	ifc:SIEVERT
unit:M2	skos:exactMatch	ifc:SQUARE_METRE
unit:SR	skos:exactMatch	ifc:STERADIAN
unit:T	skos:exactMatch	ifc:TESLA
unit:V	skos:exactMatch	ifc:VOLT
unit:W	skos:exactMatch	ifc:WATT
unit:WB	skos:exactMatch	ifc:WEBER
qk:AbsorbedDose	skos:exactMatch	ifc:IfcAbsorbedDoseMeasure
qk:AmountOfSubstance	skos:exactMatch ifc:IfcAmountOfSubstanceMeasure
qk:Area	skos:exactMatch	ifc:IfcAREAMeasure
qk:DoseEquivalent	skos:exactMatch	ifc:IfcDoseEquivalentMeasure
qk:Capacitance	skos:exactMatch	ifc:IfcElectricCapacitanceMeasure
qk:ElectricCharge	skos:exactMatch	ifc:IfcElectricChargeMeasure
qk:ElectricConductivity	skos:exactMatch	ifc:IfcElectricConductanceMeasure
qk:ElectricCurrent	skos:exactMatch	ifc:IfcElectricCurrentMeasure
qk:Resistance	skos:exactMatch	ifc:IfcElectricResistanceMeasure
qk:Voltage	skos:exactMatch	ifc:IfcElectricVoltageMeasure
qk:Energy	skos:exactMatch	ifc:IfcEnergyMeasure
qk:Force	skos:exactMatch	ifc:IfcForceMeasure
qk:Frequency	skos:exactMatch	ifc:IfcFrequencyMeasure
qk:Illuminance	skos:exactMatch	ifc:IfcIlluminanceMeasure
qk:Inductance	skos:exactMatch	ifc:IfcInductanceMeasure
qk:Length	skos:exactMatch	ifc:IfcLengthMeasure
qk:LuminousFlux	skos:exactMatch	ifc:IfcLuminousFluxMeasure
qk:LuminousIntensity	skos:exactMatch	ifc:IfcLuminousIntensityMeasure
