[c]	u
<http://vocab.nerc.ac.uk/collection/P06/current/BSM3/>	Bq.s.m-3    unit:BQ-SEC-PER-M3
<http://vocab.nerc.ac.uk/collection/P06/current/DBPY/>	dbar.a-1    unit:DeciBAR-PER-YR
<http://vocab.nerc.ac.uk/collection/P06/current/DCPY/>	Cel.a-1     unit:DEG_C-PER-YR
<http://vocab.nerc.ac.uk/collection/P06/current/DEGE/>	SDN:P06::DEGE   ---
<http://vocab.nerc.ac.uk/collection/P06/current/DEGN/>	SDN:P06::DEGN   ---
<http://vocab.nerc.ac.uk/collection/P06/current/DGPM/>	deg.m-1     unit:DEG-PER-M
<http://vocab.nerc.ac.uk/collection/P06/current/DKM2/>	Cel.kg.m-2  unit:DEG_C-KiloGM-PER-M2
<http://vocab.nerc.ac.uk/collection/P06/current/DKPM/>	K.m-1       unit:K-PER-M
<http://vocab.nerc.ac.uk/collection/P06/current/EQPL/>	eq.L-1  ---
<http://vocab.nerc.ac.uk/collection/P06/current/FGKG/>	fg.kg-1     unit:FemtoGM-PER-KiloGM
<http://vocab.nerc.ac.uk/collection/P06/current/FGPL/>	fg.L-1      unit:FemtoGM-PER-L
<http://vocab.nerc.ac.uk/collection/P06/current/FMKG/>	fmol.kg-1   unit:FemtoMOL-PER-KiloGM
<http://vocab.nerc.ac.uk/collection/P06/current/GQCY/>	g.cm-2.a-1  unit:GM-PER-CentiM2-A
<http://vocab.nerc.ac.uk/collection/P06/current/HPAH/>	hPa.h-1     unit:HectoPA-PER-HR
<http://vocab.nerc.ac.uk/collection/P06/current/JCMH/>	J.cm-2.d-1  unit:J-PER-CentiM2-DAY
<http://vocab.nerc.ac.uk/collection/P06/current/JKGK/>	J.kg-1.K-1  unit:J-PER-KiloGM-K
<http://vocab.nerc.ac.uk/collection/P06/current/KGAK/>	kg.km-2     unit:KiloGM-PER-KiloM2
<http://vocab.nerc.ac.uk/collection/P06/current/KGMH/>	kg.m-1.h-1  unit:KiloGM-PER-M-HR
<http://vocab.nerc.ac.uk/collection/P06/current/KGNM/>	nmol.kg-1   unit:NanoMOL-PER-KiloGM
<http://vocab.nerc.ac.uk/collection/P06/current/KGPM/>	pmol.kg-1   unit:PicoMOL-PER-KiloGM
<http://vocab.nerc.ac.uk/collection/P06/current/KGS2/>	kg2.s-2     unit:KiloGM2-PER-SEC2
<http://vocab.nerc.ac.uk/collection/P06/current/KGUM/>	umol.kg-1   unit:MicroMOL-PER-KiloGM
<http://vocab.nerc.ac.uk/collection/P06/current/KLSQ/>	K2          unit:K2
<http://vocab.nerc.ac.uk/collection/P06/current/KMDY/>	km.d-1      unit:KiloM-PER-DAY
<http://vocab.nerc.ac.uk/collection/P06/current/KMPS/>	kg.m-1.s-1  unit:KiloGM-PER-M-SEC
<http://vocab.nerc.ac.uk/collection/P06/current/KMSS/>	K.m2.kg-1.s-1   unit:K-M2-PER-KiloGM-SEC
<http://vocab.nerc.ac.uk/collection/P06/current/KMTS/>	K.m.s-1     unit:K-M-PER-SEC
<http://vocab.nerc.ac.uk/collection/P06/current/KMTX/>	K.m         unit:K-M
<http://vocab.nerc.ac.uk/collection/P06/current/KPAS/>	K.Pa.s-1    unit:K-PA-PER-SEC
<http://vocab.nerc.ac.uk/collection/P06/current/KPMT/>	K.m-1       unit:K-PER-M
<http://vocab.nerc.ac.uk/collection/P06/current/KSP2/>	kg.m-2.s-1  unit:KiloGM-PER-M2-SEC
<http://vocab.nerc.ac.uk/collection/P06/current/KSP3/>	kg.m-3.s-1  unit:KiloGM-PER-M3-SEC
<http://vocab.nerc.ac.uk/collection/P06/current/KSXX/>	K.s         unit:K-SEC
<http://vocab.nerc.ac.uk/collection/P06/current/LPUM/>	L.umol-1    unit:L-PER-MicroMOL
<http://vocab.nerc.ac.uk/collection/P06/current/M2HD/>	m2.Hz-1.deg-1   unit:M2-PER-HZ-DEG
<http://vocab.nerc.ac.uk/collection/P06/current/M2MM/>	mol.m-2.s-1.m-1 unit:MOL-PER-M2-SEC-M
<http://vocab.nerc.ac.uk/collection/P06/current/M2MS/>	mol.m-2.s-1 unit:MOL-PER-M2-SEC
<http://vocab.nerc.ac.uk/collection/P06/current/M2RD/>	m2.s.rad-1  unit:M2-SEC-PER-RAD
<http://vocab.nerc.ac.uk/collection/P06/current/M2S2/>	m-2.s-1     unit:PER-M2-SEC
<http://vocab.nerc.ac.uk/collection/P06/current/M2SR/>	mol.m-2.s-1.m-1.sr-1    unit:MOL-PER-M2-SEC-M-SR
<http://vocab.nerc.ac.uk/collection/P06/current/M3PS/>	m-3.s-1     unit:PER-M3-SEC
<http://vocab.nerc.ac.uk/collection/P06/current/M3SR/>	mol.m-2.s-1.sr-1    unit:MOL-PER-M2-SEC-SR
<http://vocab.nerc.ac.uk/collection/P06/current/M4S1/>	m4.s-1      unit:M4-PER-SEC
<http://vocab.nerc.ac.uk/collection/P06/current/MAKG/>	1000000.kg-1{atom}  ---
<http://vocab.nerc.ac.uk/collection/P06/current/MBPG/>	mBq.g-1     unit:MilliBQ-PER-GM
<http://vocab.nerc.ac.uk/collection/P06/current/MBQF/>	mBq.m-2.d-1 unit:MilliBQ-PER-M2-DAY
<http://vocab.nerc.ac.uk/collection/P06/current/MBPG/>	mBq.g-1     unit:MilliBQ-PER-GM
<http://vocab.nerc.ac.uk/collection/P06/current/MBQK/>	mBq.kg-1    unit:MilliBQ-PER-KiloGM
<http://vocab.nerc.ac.uk/collection/P06/current/MCMD/>	mmol.m-3.d-1    unit:MilliMOL-PER-M3-DAY
<http://vocab.nerc.ac.uk/collection/P06/current/MEKG/>	meq.kg-1    ---
<http://vocab.nerc.ac.uk/collection/P06/current/MEQL/>	meq.L-1     ---
<http://vocab.nerc.ac.uk/collection/P06/current/MGLH/>	ug.L-1.h-1  unit:MicroGM-PER-L-HR
<http://vocab.nerc.ac.uk/collection/P06/current/MGPM/>	mGal.mo-1   unit:MilliGAL-PER-MO
<http://vocab.nerc.ac.uk/collection/P06/current/MGSQ/>	mg.m-2.h-1  unit:MilliGM-PER-M2-HR
<http://vocab.nerc.ac.uk/collection/P06/current/MLM2/>	mol.m-2     unit:MOL-PER-M2
<http://vocab.nerc.ac.uk/collection/P06/current/MM3S/>	mol.m-3.s-1 unit:MOL-PER-M3-SEC
<http://vocab.nerc.ac.uk/collection/P06/current/MMCM/>	mmol.m-3    unit:MilliMOL-PER-M3
<http://vocab.nerc.ac.uk/collection/P06/current/MMOM/>	mmol.mol-1  unit:MilliMOL-PER-MOL
<http://vocab.nerc.ac.uk/collection/P06/current/MMSM/>	mmol.m-2    unit:MilliMOL-PER-M2
<http://vocab.nerc.ac.uk/collection/P06/current/MPGH/>	mol.g-1.h-1 unit:MOL-PER-GM-HR
<http://vocab.nerc.ac.uk/collection/P06/current/MPMX/>	mol.mol-1   unit:MOL-PER-MOL
<http://vocab.nerc.ac.uk/collection/P06/current/MPYR/>	m.a-1       unit:M-PER-YR
<http://vocab.nerc.ac.uk/collection/P06/current/MRAD/>	mRAD.h-1    unit:MilliRAD-PER-HR
<http://vocab.nerc.ac.uk/collection/P06/current/MSMD/>	mL.m-2.d-1  unit:MilliL-PER-M2-DAY
<http://vocab.nerc.ac.uk/collection/P06/current/MSPM/>	mS.m-1      unit:MilliS-PER-M
<http://vocab.nerc.ac.uk/collection/P06/current/MWNM/>	mW.m-2.nm-1 unit:MilliW-PER-M2-NanoM
<http://vocab.nerc.ac.uk/collection/P06/current/MWNS/>	mW.m-2.nm-1.sr-1    unit:MilliW-PER-M2-NanoM-SR
<http://vocab.nerc.ac.uk/collection/P06/current/MWSR/>	mW.cm-2.um-1.sr-1   unit:MilliW-PER-CentiM2-MicroM-SR
<http://vocab.nerc.ac.uk/collection/P06/current/NBHG/>	{#}.hg-1    unit:NUM-PER-HectoGM
<http://vocab.nerc.ac.uk/collection/P06/current/NBMG/>	{#}.mg-1    unit:NUM-PER-MilliGM
<http://vocab.nerc.ac.uk/collection/P06/current/NCUM/>	N.m-3       unit:N-PER-M3
<http://vocab.nerc.ac.uk/collection/P06/current/NHTR/>	{#}.har-1   unit:NUM-PER-HA
<http://vocab.nerc.ac.uk/collection/P06/current/NMCH/>	nmol.cm-3.h-1   unit:NanoMOL-PER-CentiM3-HR
<http://vocab.nerc.ac.uk/collection/P06/current/NMGH/>	nmol.ug-1.h-1   unit:NanoMOL-PER-MicroGM-HR
<http://vocab.nerc.ac.uk/collection/P06/current/NMMD/>	nmol.umol-1.d-1 unit:NanoMOL-PER-MicroMOL-DAY
<http://vocab.nerc.ac.uk/collection/P06/current/NMMM/>	nmol.umol-1 unit:NanoMOL-PER-MicroMOL
<http://vocab.nerc.ac.uk/collection/P06/current/NOPH/>	{#}.h-1     unit:NUM-PER-HR
<http://vocab.nerc.ac.uk/collection/P06/current/NOPM/>	{#}.m-1     unit:NUM-PER-M
<http://vocab.nerc.ac.uk/collection/P06/current/NPKM/>	{#}.km-2    unit:NUM-PER-KiloM2
