UCUM code | QUDT item requested
--- | ---
Bq.s.m-3 | unit:BQ-SEC-PER-M3
dbar.a-1 | unit:DeciBAR-PER-YR
Cel.a-1 | unit:DEG_C-PER-YR
deg.m-1 | unit:DEG-PER-M
Cel.kg.m-2 | unit:DEG_C-KiloGM-PER-M2
K.m-1 | unit:K-PER-M
fg.kg-1 | unit:FemtoGM-PER-KiloGM
fg.L-1 | unit:FemtoGM-PER-L
fmol.kg-1 | unit:FemtoMOL-PER-KiloGM
g.cm-2.a-1 | unit:GM-PER-CentiM2-A
hPa.h-1 | unit:HectoPA-PER-HR
J.cm-2.d-1 | unit:J-PER-CentiM2-DAY
J.kg-1.K-1 | unit:J-PER-KiloGM-K
kg.km-2 | unit:KiloGM-PER-KiloM2
kg.m-1.h-1 | unit:KiloGM-PER-M-HR
nmol.kg-1 | unit:NanoMOL-PER-KiloGM
pmol.kg-1 | unit:PicoMOL-PER-KiloGM
kg2.s-2 | unit:KiloGM2-PER-SEC2
umol.kg-1 | unit:MicroMOL-PER-KiloGM
K2 | unit:K2
km.d-1 | unit:KiloM-PER-DAY
kg.m-1.s-1 | unit:KiloGM-PER-M-SEC
K.m2.kg-1.s-1 | unit:K-M2-PER-KiloGM-SEC
K.m.s-1 | unit:K-M-PER-SEC
K.m | unit:K-M
K.Pa.s-1 | unit:K-PA-PER-SEC
K.m-1 | unit:K-PER-M
kg.m-2.s-1 | unit:K-PER-M2-SEC
kg.m-3.s-1 | unit:K-PER-M3-SEC
K.s | unit:K-SEC
L.umol-1 | unit:L-PER-MicroMOL
m2.Hz-1.deg-1 | unit:M2-PER-HZ-DEG
mol.m-2.s-1.m-1 | unit:MOL-PER-M2-SEC-M
mol.m-2.s-1 | unit:MOL-PER-M2-SEC
m2.s.rad-1 | unit:M2-SEC-PER-RAD
m-2.s-1 | unit:PER-M2-SEC
mol.m-2.s-1.m-1.sr-1 | unit:MOL-PER-M2-SEC-M-SR
m-3.s-1 | unit:PER-M3-SEC
mol.m-2.s-1.sr-1 | unit:MOL-PER-M2-SEC-SR
m4.s-1 | unit:M4-PER-SEC
mBq.g-1 | unit:MilliBQ-PER-GM
mBq.m-2.d-1 | unit:MilliBQ-PER-M2-DAY
mBq.g-1 | unit:MilliBQ-PER-GM
mBq.kg-1 | unit:MilliBQ-PER-KiloGM
mmol.m-3.d-1 | unit:MilliMOL-PER-M3-DAY
ug.L-1.h-1 | unit:MicroGM-PER-L-HR
mGal.mo-1 | unit:MilliGAL-PER-MO
mg.m-2.h-1 | unit:MilliGM-PER-M2-HR
mol.m-2 | unit:MOL-PER-M2
mol.m-3.s-1 | unit:MOL-PER-M3-SEC
mmol.m-3 | unit:MilliMOL-PER-M3
mmol.mol-1 | unit:MilliMOL-PER-MOL
mmol.m-2 | unit:MilliMOL-PER-M2
mol.g-1.h-1 | unit:MOL-PER-GM-HR
