subject_id	predicate_id	object_id	mapping_justification
unit:GM-PER-CentiM3	skos:exactMatch	eclass:IRDI_0173_1_05_AAA485_003	semapv:ManualMappingCuration
unit:KiloGM-PER-M2	skos:exactMatch	eclass:IRDI_0173_1_05_AAA423_003	semapv:ManualMappingCuration
unit:RAD-PER-SEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA644_003	semapv:ManualMappingCuration
unit:RAD-PER-SEC2	skos:exactMatch	eclass:IRDI_0173_1_05_AAA082_003	semapv:ManualMappingCuration
unit:R	skos:exactMatch	eclass:IRDI_0173_1_05_AAA437_003	semapv:ManualMappingCuration
unit:CentiM3-PER-SEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA459_003	semapv:ManualMappingCuration
unit:FT3-PER-HR	skos:exactMatch	eclass:IRDI_0173_1_05_AAA242_003	semapv:ManualMappingCuration
unit:FT3-PER-MIN	skos:exactMatch	eclass:IRDI_0173_1_05_AAA687_004	semapv:ManualMappingCuration
unit:CentiM-PER-SEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA717_003	semapv:ManualMappingCuration
unit:DeciB	skos:exactMatch	eclass:IRDI_0173_1_05_AAA715_003	semapv:ManualMappingCuration
unit:KiloBYTE	skos:exactMatch	eclass:IRDI_0173_1_05_AAA654_005	semapv:ManualMappingCuration
unit:KiloBQ	skos:exactMatch	eclass:IRDI_0173_1_05_AAA662_003	semapv:ManualMappingCuration
unit:MegaGM	skos:exactMatch	eclass:IRDI_0173_1_05_AAA497_003	semapv:ManualMappingCuration
unit:M-PER-MIN	skos:exactMatch	eclass:IRDI_0173_1_05_AAA664_003	semapv:ManualMappingCuration
unit:MilliV	skos:exactMatch	eclass:IRDI_0173_1_05_AAA302_003	semapv:ManualMappingCuration
unit:MegaJ	skos:exactMatch	eclass:IRDI_0173_1_05_AAA182_003	semapv:ManualMappingCuration
unit:KiloGM-PER-KiloGM	skos:exactMatch	eclass:IRDI_0173_1_05_AAA062_003	semapv:ManualMappingCuration
unit:MilliL-PER-SEC	skos:exactMatch	eclass:IRDI_0173_1_05_AAA285_003	semapv:ManualMappingCuration
unit:MilliL-PER-MIN	skos:exactMatch	eclass:IRDI_0173_1_05_AAA622_003	semapv:ManualMappingCuration
