subject_id	predicate_id	object_id	mapping_justification
unit:A	skos:exactMatch	ifc:AMPERE	semapv:ManualMappingCuration
unit:BQ	skos:exactMatch	ifc:BECQUEREL	semapv:ManualMappingCuration
unit:CD	skos:exactMatch	ifc:CANDELA	semapv:ManualMappingCuration
unit:C	skos:exactMatch	ifc:COULOMB	semapv:ManualMappingCuration
unit:M3	skos:exactMatch	ifc:CUBIC_METRE	semapv:ManualMappingCuration
unit:DEG_C	skos:exactMatch	ifc:DEGREE_CELSIUS	semapv:ManualMappingCuration
unit:F	skos:exactMatch	ifc:FARAD	semapv:ManualMappingCuration
unit:GM	skos:exactMatch	ifc:GRAM	semapv:ManualMappingCuration
unit:GRAY	skos:exactMatch	ifc:GRAY	semapv:ManualMappingCuration
unit:H	skos:exactMatch	ifc:HENRY	semapv:ManualMappingCuration
unit:HZ	skos:exactMatch	ifc:HERTZ	semapv:ManualMappingCuration
unit:J	skos:exactMatch	ifc:JOULE	semapv:ManualMappingCuration
unit:K	skos:exactMatch	ifc:KELVIN	semapv:ManualMappingCuration
unit:LM	skos:exactMatch	ifc:LUMEN	semapv:ManualMappingCuration
unit:LUX	skos:exactMatch	ifc:LUX	semapv:ManualMappingCuration
unit:M	skos:exactMatch	ifc:METRE	semapv:ManualMappingCuration
unit:MOL	skos:exactMatch	ifc:MOLE	semapv:ManualMappingCuration
unit:N	skos:exactMatch	ifc:NEWTON	semapv:ManualMappingCuration
unit:OHM	skos:exactMatch	ifc:OHM	semapv:ManualMappingCuration
unit:PA	skos:exactMatch	ifc:PASCAL	semapv:ManualMappingCuration
unit:RAD	skos:exactMatch	ifc:RADIAN	semapv:ManualMappingCuration
unit:SEC	skos:exactMatch	ifc:SECOND	semapv:ManualMappingCuration
unit:S	skos:exactMatch	ifc:SIEMENS	semapv:ManualMappingCuration
unit:SV	skos:exactMatch	ifc:SIEVERT	semapv:ManualMappingCuration
unit:M2	skos:exactMatch	ifc:SQUARE_METRE	semapv:ManualMappingCuration
unit:SR	skos:exactMatch	ifc:STERADIAN	semapv:ManualMappingCuration
unit:T	skos:exactMatch	ifc:TESLA	semapv:ManualMappingCuration
unit:V	skos:exactMatch	ifc:VOLT	semapv:ManualMappingCuration
unit:W	skos:exactMatch	ifc:WATT	semapv:ManualMappingCuration
unit:WB	skos:exactMatch	ifc:WEBER	semapv:ManualMappingCuration
qk:AbsorbedDose	skos:exactMatch	ifc:IfcAbsorbedDoseMeasure	semapv:ManualMappingCuration
qk:AmountOfSubstance	skos:exactMatch	ifc:IfcAmountOfSubstanceMeasure	semapv:ManualMappingCuration
qk:Area	skos:exactMatch	ifc:IfcAREAMeasure	semapv:ManualMappingCuration
qk:DoseEquivalent	skos:exactMatch	ifc:IfcDoseEquivalentMeasure	semapv:ManualMappingCuration
qk:Capacitance	skos:exactMatch	ifc:IfcElectricCapacitanceMeasure	semapv:ManualMappingCuration
qk:ElectricCharge	skos:exactMatch	ifc:IfcElectricChargeMeasure	semapv:ManualMappingCuration
qk:ElectricConductivity	skos:exactMatch	ifc:IfcElectricConductanceMeasure	semapv:ManualMappingCuration
qk:ElectricCurrent	skos:exactMatch	ifc:IfcElectricCurrentMeasure	semapv:ManualMappingCuration
qk:Resistance	skos:exactMatch	ifc:IfcElectricResistanceMeasure	semapv:ManualMappingCuration
qk:Voltage	skos:exactMatch	ifc:IfcElectricVoltageMeasure	semapv:ManualMappingCuration
qk:Energy	skos:exactMatch	ifc:IfcEnergyMeasure	semapv:ManualMappingCuration
qk:Force	skos:exactMatch	ifc:IfcForceMeasure	semapv:ManualMappingCuration
qk:Frequency	skos:exactMatch	ifc:IfcFrequencyMeasure	semapv:ManualMappingCuration
qk:Illuminance	skos:exactMatch	ifc:IfcIlluminanceMeasure	semapv:ManualMappingCuration
qk:Inductance	skos:exactMatch	ifc:IfcInductanceMeasure	semapv:ManualMappingCuration
qk:Length	skos:exactMatch	ifc:IfcLengthMeasure	semapv:ManualMappingCuration
qk:LuminousFlux	skos:exactMatch	ifc:IfcLuminousFluxMeasure	semapv:ManualMappingCuration
qk:LuminousIntensity	skos:exactMatch	ifc:IfcLuminousIntensityMeasure	semapv:ManualMappingCuration
qk:MagneticFluxDensity	skos:exactMatch	ifc:IfcMagneticFluxDensityMeasure	semapv:ManualMappingCuration
qk:MagneticFlux	skos:exactMatch	ifc:IfcMagneticFluxMeasure	semapv:ManualMappingCuration
qk:Mass	skos:exactMatch	ifc:IfcMassMeasure	semapv:ManualMappingCuration
qk:PlaneAngle	skos:exactMatch	ifc:IfcPlaneAngleMeasure	semapv:ManualMappingCuration
qk:Power	skos:exactMatch	ifc:IfcPowerMeasure	semapv:ManualMappingCuration
qk:Pressure	skos:exactMatch	ifc:IfcPressureMeasure	semapv:ManualMappingCuration
qk:Activity	skos:exactMatch	ifc:IfcRadioActivityMeasure	semapv:ManualMappingCuration
qk:SolidAngle	skos:exactMatch	ifc:IfcSolidAngleMeasure	semapv:ManualMappingCuration
qk:ThermodynamicTemperature	skos:exactMatch	ifc:IfcThermodynamicTemperatureMeasure	semapv:ManualMappingCuration
qk:Time	skos:exactMatch	ifc:IfcTimeMeasure	semapv:ManualMappingCuration
qk:Volume	skos:exactMatch	ifc:IfcVolumeMeasure	semapv:ManualMappingCuration
qk:AngularVelocity	skos:exactMatch	ifc:IfcAngularVelocityMeasure	semapv:ManualMappingCuration
qk:SurfaceDensity	skos:exactMatch	ifc:IfcAreaDensityMeasure	semapv:ManualMappingCuration
qk:PlaneAngle	skos:exactMatch	ifc:IfcCompoundPlaneAngleMeasure	semapv:ManualMappingCuration
qk:DynamicViscosity	skos:exactMatch	ifc:IfcDynamicViscosityMeasure	semapv:ManualMappingCuration
qk:HeatFluxDensity	skos:exactMatch	ifc:IfcHeatFluxDensityMeasure	semapv:ManualMappingCuration
qk:Frequency	skos:exactMatch	ifc:IfcIntegerCountRateMeasure	semapv:ManualMappingCuration
qk:KinematicViscosity	skos:exactMatch	ifc:IfcKinematicViscosityMeasure	semapv:ManualMappingCuration
qk:LinearVelocity	skos:exactMatch	ifc:IfcLinearVelocityMeasure	semapv:ManualMappingCuration
qk:MassDensity	skos:exactMatch	ifc:IfcMassDensityMeasure	semapv:ManualMappingCuration
qk:MassFlowRate	skos:exactMatch	ifc:IfcMassFlowRateMeasure	semapv:ManualMappingCuration
qk:MolarMass	skos:exactMatch	ifc:IfcMolecularWeightMeasure	semapv:ManualMappingCuration
qk:SpecificHeatCapacity	skos:exactMatch	ifc:IfcSpecificHeatCapacityMeasure	semapv:ManualMappingCuration
qk:ThermalConductance	skos:exactMatch	ifc:IfcThermalConductanceMeasure	semapv:ManualMappingCuration
qk:ThermalResistance	skos:exactMatch	ifc:IfcThermalResistanceMeasure	semapv:ManualMappingCuration
qk:VolumeFlowRate	skos:exactMatch	ifc:IfcVolumetricFlowRateMeasure	semapv:ManualMappingCuration
qk:AngularFrequency	skos:exactMatch	ifc:IfcRotationalFrequencyMeasure	semapv:ManualMappingCuration
qk:Torque	skos:exactMatch	ifc:IfcTorqueMeasure	semapv:ManualMappingCuration
qk:MomentOfInertia	skos:exactMatch	ifc:IfcMomentOfInertiaMeasure	semapv:ManualMappingCuration
qk:LinearMomentum	skos:exactMatch	ifc:IfcLinearMomentMeasure	semapv:ManualMappingCuration
qk:ModulusOfElasticity	skos:exactMatch	ifc:IfcModulusOfElasticityMeasure	semapv:ManualMappingCuration
qk:ShearModulus	skos:exactMatch	ifc:IfcShearModulusMeasure	semapv:ManualMappingCuration
qk:Acceleration	skos:exactMatch	ifc:IfcAccelerationMeasure	semapv:ManualMappingCuration
qk:Curvature	skos:exactMatch	ifc:IfcCurvatureMeasure	semapv:ManualMappingCuration
qk:MassPerLength	skos:exactMatch	ifc:IfcMassPerLengthMeasure	semapv:ManualMappingCuration
qk:RotationalMass	skos:exactMatch	ifc:IfcRotationalMassMeasure	semapv:ManualMappingCuration
qk:SectionModulus	skos:exactMatch	ifc:IfcSectionModulusMeasure	semapv:ManualMappingCuration
qk:SoundPowerLevel	skos:exactMatch	ifc:IfcSoundPowerLevelMeasure	semapv:ManualMappingCuration
qk:SoundPower	skos:exactMatch	ifc:IfcSoundPowerMeasure	semapv:ManualMappingCuration
qk:SoundPressureLevel	skos:exactMatch	ifc:IfcSoundPressureLevelMeasure	semapv:ManualMappingCuration
qk:SoundPressure	skos:exactMatch	ifc:IfcSoundPressureMeasure	semapv:ManualMappingCuration
qk:TemperatureRateOfChange	skos:exactMatch	ifc:IfcTemperatureRateOfChangeMeasure	semapv:ManualMappingCuration
qk:ThermalExpansionCoefficient	skos:exactMatch	ifc:IfcThermalExpansionCoefficientMeasure	semapv:ManualMappingCuration
qk:IsothermalMoistureCapacity	skos:exactMatch	ifc:IfcIsothermalMoistureCapacityMeasure	semapv:ManualMappingCuration
qk:MoistureDiffusivity	skos:exactMatch	ifc:IfcMoistureDiffusivityMeasure	semapv:ManualMappingCuration
qk:ThermalAdmittance	skos:exactMatch	ifc:IfcThermalAdmittanceMeasure	semapv:ManualMappingCuration
qk:ThermalTransmittance	skos:exactMatch	ifc:IfcThermalTransmittanceMeasure	semapv:ManualMappingCuration
qk:VaporPermeability	skos:exactMatch	ifc:IfcVaporPermeabilityMeasure	semapv:ManualMappingCuration
qk:LinearForce	skos:exactMatch	ifc:IfcLinearForceMeasure	semapv:ManualMappingCuration
qk:PlanarForce	skos:exactMatch	ifc:IfcPlanarForceMeasure	semapv:ManualMappingCuration
qk:LinearStiffness	skos:exactMatch	ifc:IfcLinearStiffnessMeasure	semapv:ManualMappingCuration
qk:RotationalStiffness	skos:exactMatch	ifc:IfcRotationalStiffnessMeasure	semapv:ManualMappingCuration
qk:ModulusOfSubgradeReaction	skos:exactMatch	ifc:IfcModulusOfSubgradeReactionMeasure	semapv:ManualMappingCuration
qk:HeatingValue	skos:exactMatch	ifc:IfcHeatingValueMeasure	semapv:ManualMappingCuration
qk:IonConcentration	skos:exactMatch	ifc:IfcIonConcentrationMeasure	semapv:ManualMappingCuration
qk:LuminousIntensityDistribution	skos:exactMatch	ifc:IfcLuminousIntensityDistributionMeasure	semapv:ManualMappingCuration
qk:ModulusOfLinearSubgradeReaction	skos:exactMatch	ifc:IfcModulusOfLinearSubgradeReactionMeasure	semapv:ManualMappingCuration
qk:ModulusOfRotationalSubgradeReaction	skos:exactMatch	ifc:IfcModulusOfRotationalSubgradeReactionMeasure	semapv:ManualMappingCuration
qk:PH	skos:exactMatch	ifc:IfcPHMeasure	semapv:ManualMappingCuration
qk:SectionAreaIntegral	skos:exactMatch	ifc:IfcSectionAreaIntegralMeasure	semapv:ManualMappingCuration
qk:TemperatureGradient	skos:exactMatch	ifc:IfcTemperatureGradientMeasure	semapv:ManualMappingCuration
qk:WarpingConstant	skos:exactMatch	ifc:IfcWarpingConstantMeasure	semapv:ManualMappingCuration
qk:WarpingMoment	skos:exactMatch	ifc:IfcWarpingMomentMeasure	semapv:ManualMappingCuration
qk:DimensionlessRatio	skos:exactMatch	ifc:IfcRatioMeasure	semapv:ManualMappingCuration
qk:PositiveDimensionlessRatio	skos:exactMatch	ifc:IfcPositiveRatioMeasure	semapv:ManualMappingCuration
qk:NormalizedDimensionlessRatio	skos:exactMatch	ifc:IfcNormalisedRatioMeasure	semapv:ManualMappingCuration
qk:Dimensionless	skos:exactMatch	ifc:IfcNumericMeasure	semapv:ManualMappingCuration
qk:NonNegativeLength	skos:exactMatch	ifc:IfcNonNegativeLengthMeasure	semapv:ManualMappingCuration
qk:PositiveLength	skos:exactMatch	ifc:IfcPositiveLengthMeasure	semapv:ManualMappingCuration
qk:PositivePlaneAngle	skos:exactMatch	ifc:IfcPositivePlaneAngleMeasure	semapv:ManualMappingCuration
qk:Count	skos:exactMatch	ifc:IfcCountMeasure	semapv:ManualMappingCuration
pfx:Nano	skos:exactMatch	ifc:NANO	semapv:ManualMappingCuration
pfx:Milli	skos:exactMatch	ifc:MILLI	semapv:ManualMappingCuration
pfx:Kilo	skos:exactMatch	ifc:KILO	semapv:ManualMappingCuration
pfx:Deca	skos:exactMatch	ifc:DECA	semapv:ManualMappingCuration
pfx:Giga	skos:exactMatch	ifc:GIGA	semapv:ManualMappingCuration
pfx:Atto	skos:exactMatch	ifc:ATTO	semapv:ManualMappingCuration
pfx:Centi	skos:exactMatch	ifc:CENTI	semapv:ManualMappingCuration
pfx:Pico	skos:exactMatch	ifc:PICO	semapv:ManualMappingCuration
pfx:Femto	skos:exactMatch	ifc:FEMTO	semapv:ManualMappingCuration
pfx:Deka	skos:exactMatch	ifc:DECA	semapv:ManualMappingCuration
pfx:Deci	skos:exactMatch	ifc:DECI	semapv:ManualMappingCuration
pfx:Tera	skos:exactMatch	ifc:TERA	semapv:ManualMappingCuration
pfx:Peta	skos:exactMatch	ifc:PETA	semapv:ManualMappingCuration
pfx:Micro	skos:exactMatch	ifc:MICRO	semapv:ManualMappingCuration
pfx:Exa	skos:exactMatch	ifc:EXA	semapv:ManualMappingCuration
pfx:Hecto	skos:exactMatch	ifc:HECTO	semapv:ManualMappingCuration
pfx:Mega	skos:exactMatch	ifc:MEGA	semapv:ManualMappingCuration
